name	norad	classification	int_desig	epoch_year	epoch_day	dn_o2	ddn_o6	bstar	set_num	inc	raan	ecc	argp	M	n	rev_num	epoch
VANGUARD 1	5	U	58002B	2022	93.17498593	6.48E-06	0	0.00084891	999	34.2491	11.3775	0.1845227	58.718	318.1107	10.84897243	27646	11:58.8
VANGUARD 2	11	U	59001A	2022	93.15269782	1.54E-05	0	0.00081409	999	32.8693	116.9453	0.1467167	348.0986	8.8208	11.86020802	69445	39:53.1
VANGUARD R/B	12	U	59001B	2022	92.48516248	8.48E-06	0	0.00047651	999	32.9101	222.3364	0.1666498	274.9955	66.3272	11.44610308	35491	38:38.0
VANGUARD R/B	16	U	58002A	2022	93.06015556	9.10E-07	0	0.00014453	999	34.2638	64.4564	0.2025557	117.9284	264.0815	10.48815006	52755	26:37.4
VANGUARD 3	20	U	59007A	2022	92.82901361	1.12E-05	0	0.00045435	999	33.3455	10.3433	0.1664919	138.724	235.1954	11.56135077	30633	53:46.8
EXPLORER 7	22	U	59009A	2022	92.83401897	4.83E-05	0	0.00037038	999	50.2821	269.6066	0.0136598	240.5986	118.1267	14.96357566	56830	00:59.2
TIROS 1	29	U	60002B	2022	92.90289219	5.09E-06	0	0.00010619	999	48.3788	99.7068	0.0023693	154.0296	206.181	14.745678	31511	40:09.9
TRANSIT 2A	45	U	60007A	2022	92.7092935	2.00E-06	0	7.64E-05	999	66.6929	96.621	0.025772	200.9755	158.0624	14.33807385	15962	01:23.0
SOLRAD 1 (GREB)	46	U	60007B	2022	93.17257749	1.82E-05	0	0.00037995	999	66.6895	77.1736	0.0209661	0.932	359.2135	14.49583364	23398	08:30.7
THOR ABLESTAR R/B	47	U	60007C	2022	92.67605521	1.02E-05	0	0.00025069	999	66.6661	205.4944	0.0228022	186.5422	173.2696	14.4227921	22901	13:31.2
DELTA 1 R/B	50	U	60009B	2022	92.55529112	-8.90E-07	0	-2.37E-05	999	47.2294	251.1513	0.0113989	115.2361	246.0293	12.20120071	75008	19:37.2
ECHO 1 DEB (METAL OBJ)	51	U	60009C	2022	93.13630516	7.00E-08	0	0.00088463	999	47.2113	121.9975	0.0108223	308.5422	50.5706	12.18278933	74389	16:16.8
ECHO 1 DEB (METAL OBJ)	53	U	60009E	2022	92.24214495	-5.00E-08	0	0.00077665	999	47.2785	42.7711	0.0098391	214.2644	145.1769	12.17269328	74820	48:41.3
COURIER 1B	58	U	60013A	2022	93.16581705	1.09E-06	0	3.93E-05	999	28.3289	13.085	0.0165013	89.7498	272.1954	13.46332513	2744	58:46.6
THOR ABLESTAR R/B	59	U	60013B	2022	92.70814368	1.39E-06	0	7.09E-05	999	28.2479	97.4038	0.0189158	17.6346	343.0661	13.52996305	3491	59:43.6
SCOUT X-1 R/B	82	U	61004B	2022	92.56244616	3.20E-07	0	7.03E-05	999	38.8566	296.3777	0.1173489	0.2513	359.8581	12.26006816	88809	29:55.3
SCOUT X-1 DEB	85	U	61004C	2022	92.49962691	0.00011995	0	0.0023952	999	38.7672	277.3965	0.0375257	188.7994	170.6036	14.25406535	2423	59:27.8
EXPLORER 11	107	U	61013A	2022	92.66520331	5.97E-05	0	0.00078502	999	28.7899	85.1291	0.0543313	325.6877	30.9707	14.09768262	5859	57:53.6
THOR ABLE DEB (YO)	115	U	60002D	2022	92.80021351	2.01E-05	0	0.00026209	999	48.1683	6.7775	0.0034637	253.9593	105.7504	14.84156663	28898	12:18.4
TRANSIT 4A	116	U	61015A	2022	92.90158997	5.80E-07	0	0.00010317	999	66.811	48.289	0.008273	270.4517	88.7083	13.91818552	8287	38:17.4
SOLRAD 3/INJUN 1	117	U	61015B	2022	92.86406764	1.30E-07	0	7.04E-05	999	66.8116	149.5328	0.0084348	290.6171	68.5875	13.89885189	8053	44:15.4
THOR ABLESTAR R/B	118	U	61015C	2022	92.93979677	9.20E-07	0	0.00010895	999	66.7633	289.4589	0.0089947	273.4554	85.6245	14.01766254	10075	33:18.4
THOR ABLESTAR DEB	119	U	61015D	2022	92.95080726	9.13E-06	0	0.0004095	999	66.7293	52.0135	0.0113029	290.8855	68.0168	14.23586973	13939	49:09.7
THOR ABLESTAR DEB	120	U	61015E	2022	92.44004751	6.59E-06	0	0.00029252	999	66.7047	114.823	0.0113451	31.1953	329.5811	14.25674088	12898	33:40.1
THOR ABLESTAR DEB	121	U	61015F	2022	92.92376232	-4.00E-08	0	4.93E-05	999	66.7461	258.8035	0.0094324	353.6078	6.3794	13.99736514	11130	10:13.1
THOR ABLESTAR DEB	122	U	61015G	2022	92.76418393	4.13E-05	0	0.00067286	999	66.7519	226.391	0.0074141	339.6642	20.1527	14.70227806	16654	20:25.5
THOR ABLESTAR DEB	123	U	61015H	2022	92.67054358	6.81E-06	0	0.00023795	999	66.6852	191.7532	0.0122012	311.743	47.3288	14.37340231	15840	05:35.0
THOR ABLESTAR DEB	124	U	61015J	2022	92.96507162	4.60E-06	0	0.00020311	999	66.5461	349.2258	0.0068487	120.6868	240.1002	14.30844358	13877	09:42.2
THOR ABLESTAR DEB	125	U	61015K	2022	92.57306143	1.68E-06	0	0.00014846	999	66.8763	169.6012	0.0067762	110.4609	250.3771	14.05699465	10114	45:12.5
THOR ABLESTAR DEB	126	U	61015L	2022	92.72325908	1.42E-05	0	0.00049489	999	66.7122	219.7795	0.0074501	306.6496	52.7771	14.36728472	14331	21:29.6
THOR ABLESTAR DEB	127	U	61015M	2022	92.68305178	1.70E-05	0	0.00056075	999	66.8305	72.406	0.0064529	106.6798	254.1402	14.39320167	14508	23:35.7
THOR ABLESTAR DEB	128	U	61015N	2022	92.61176152	7.60E-07	0	9.89E-05	999	66.6756	59.858	0.0101516	290.7944	68.2287	14.01263847	9973	40:56.2
THOR ABLESTAR DEB	130	U	61015Q	2022	92.73968397	7.80E-07	0	0.00010464	999	66.7693	100.1128	0.0092993	286.9448	72.1457	13.98774004	9652	45:08.7
THOR ABLESTAR DEB	131	U	61015R	2022	92.92013267	1.70E-06	0	0.00016245	999	66.7366	330.8349	0.0075417	57.3794	303.4539	14.00787465	8822	04:59.5
THOR ABLESTAR DEB	132	U	61015S	2022	92.90474437	3.20E-07	0	8.15E-05	999	66.6601	168.0576	0.0070919	151.077	209.4269	13.94362	8945	42:49.9
THOR ABLESTAR DEB	133	U	61015T	2022	92.86952801	6.56E-06	0	0.00034834	999	67.1154	150.277	0.0062245	283.7801	75.6372	14.1857113	11526	52:07.2
THOR ABLESTAR DEB	134	U	61015U	2022	92.76281445	1.47E-06	0	0.00015645	999	66.8803	226.8964	0.008646	223.4205	136.0046	13.96912352	9104	18:27.2
THOR ABLESTAR DEB	136	U	61015W	2022	92.86341201	1.29E-05	0	0.00047741	999	67.529	253.0592	0.0058345	348.0133	11.9581	14.3413182	13591	43:18.8
THOR ABLESTAR DEB	138	U	61015Y	2022	92.93227802	4.91E-06	0	0.00036965	999	67.1536	275.9659	0.0036961	250.0922	109.6181	14.01984865	8728	22:28.8
THOR ABLESTAR DEB	141	U	61015AB	2022	92.69639934	2.77E-06	0	0.00029753	999	66.5893	209.9648	0.0060478	325.162	34.5502	13.87089235	5858	42:48.9
THOR ABLESTAR DEB	144	U	61015AE	2022	93.07819818	2.20E-06	0	0.00023858	999	66.4996	224.9876	0.0049994	262.6657	96.8735	13.90238965	7152	52:36.3
THOR ABLESTAR DEB	145	U	61015AF	2022	92.85002093	2.20E-06	0	0.00019343	999	66.9261	227.2177	0.006636	342.5748	17.3059	14.01517499	10129	24:01.8
THOR ABLESTAR DEB	147	U	61015AH	2022	92.93891062	9.25E-06	0	0.00047277	999	66.6213	18.0344	0.004862	63.5092	297.0974	14.19475028	11608	32:01.9
THOR ABLESTAR DEB	148	U	61015AJ	2022	92.57610675	5.10E-06	0	0.00032929	999	65.7749	179.0991	0.0148192	19.3211	341.3403	14.06068438	54260	49:35.6
THOR ABLESTAR DEB	150	U	61015AL	2022	92.68132038	3.92E-06	0	0.00043629	999	66.2475	86.2555	0.0054378	61.5823	299.0712	13.81515629	89608	21:06.1
THOR ABLESTAR DEB	152	U	61015AN	2022	92.83143197	4.38E-06	0	0.00026748	999	66.5891	268.9962	0.0152086	162.9785	197.6486	14.09407027	10941	57:15.7
THOR ABLESTAR DEB	154	U	61015AQ	2022	93.15428138	4.06E-06	0	0.00029371	999	66.6589	58.6642	0.008679	344.2568	15.582	14.04643405	10120	42:09.9
THOR ABLESTAR DEB	155	U	61015AR	2022	92.91621596	2.70E-05	0	0.00087089	999	66.8826	36.3376	0.0047388	2.3886	357.7435	14.39980158	13908	59:21.1
THOR ABLESTAR DEB	158	U	61015AU	2022	92.91618357	3.76E-06	0	0.001119	999	67.0755	332.1486	0.0604873	96.3554	270.6667	12.65385609	81091	59:18.3
THOR ABLESTAR DEB	159	U	61015AV	2022	93.14809329	2.91E-06	0	0.00084081	999	65.5288	28.6993	0.0367085	22.3195	339.3348	13.02205718	88129	33:15.3
TIROS 3	162	U	61017A	2022	92.55817796	1.05E-06	0	7.68E-05	999	47.8988	150.8853	0.0045096	326.3684	33.4349	14.44132931	16959	23:46.6
MIDAS 3	163	U	61018A	2022	92.85289482	-1.00E-08	0	-0.00080102	999	91.149	139.234	0.0099948	43.6841	317.1889	8.9183524	97703	28:10.1
DELTA 1 DEB (YO)	167	U	61017D	2022	92.89808449	4.80E-07	0	8.47E-05	999	47.8462	318.9724	0.0092163	302.4525	56.7471	14.22853933	14631	33:14.5
THOR ABLESTAR DEB	172	U	61015AY	2022	92.33829443	2.90E-06	0	0.00047289	999	67.0674	82.0195	0.0127779	74.4537	287.0591	13.57659066	99636	07:08.6
THOR ABLESTAR DEB	177	U	61015BB	2022	92.92499221	1.32E-06	0	0.00010692	999	66.6575	165.763	0.0112191	86.0147	275.3758	14.13568228	12393	11:59.3
THOR ABLESTAR DEB	178	U	61015BC	2022	92.91557999	6.50E-07	0	0.00010739	999	66.8647	153.8014	0.0079209	6.3734	353.8334	13.92430638	8331	58:26.1
MIDAS 3 DEB	188	U	61018C	2022	92.08478538	-5.00E-08	0	-0.0021161	999	91.1432	141.8903	0.0106458	261.6873	97.1918	8.93807771	98087	02:05.5
MIDAS 4	192	U	61028A	2022	92.53453381	-2.50E-07	0	-0.0096031	999	95.8523	260.3614	0.013753	31.1478	329.7441	8.67764015	91487	49:43.7
MIDAS 4 DEB	194	U	61028C	2022	92.51768744	-1.10E-07	0	-0.0027754	999	95.8441	283.2105	0.0398369	258.8458	96.737	8.700889	91961	25:28.2
MIDAS 4 DEB	195	U	61028D	2022	91.36894009	-2.90E-07	0	-0.012085	999	95.8559	242.2229	0.0125533	126.5665	234.6814	8.65611885	90998	51:16.4
MIDAS 3 DEB	196	U	61018D	2022	92.52192441	1.00E-08	0	7.00E-05	999	91.1563	137.4691	0.0121809	182.4404	177.5883	8.89683877	97204	31:34.3
TRANSIT 4B	202	U	61031A	2022	92.83893593	4.80E-07	0	3.32E-05	999	32.4364	136.1316	0.0101135	66.508	294.6133	13.6356431	1116	08:04.1
THOR ABLESTAR R/B	204	U	61031C	2022	92.63831747	7.10E-07	0	5.80E-05	999	32.4409	209.4288	0.0098371	137.7733	223.0514	13.64895999	1296	19:10.6
TRAAC	205	U	61031B	2022	92.80653446	5.70E-07	0	4.07E-05	999	32.441	276.5503	0.0102326	208.8872	150.6055	13.62428794	941	21:24.6
THOR ABLESTAR DEB	210	U	61015BE	2022	92.72722178	5.99E-06	0	0.00057952	999	66.458	188.8352	0.0048924	208.0152	151.8288	13.86316181	5222	27:12.0
THOR ABLESTAR DEB	223	U	61015BK	2022	93.17546738	-1.00E-07	0	5.34E-05	999	66.8891	85.8896	0.0071076	335.1828	24.5837	13.88679915	7798	12:40.4
THOR ABLESTAR DEB	224	U	61015BL	2022	92.96064771	6.18E-06	0	0.00040045	999	66.7361	76.2185	0.0063318	30.4348	1.1047	14.08365306	9592	03:20.0
THOR ABLESTAR DEB	225	U	61015BM	2022	93.01741549	6.63E-06	0	0.00026001	999	66.801	321.915	0.0116412	288.8659	69.9847	14.31882735	13778	25:04.7
TIROS 4	226	U	62002A	2022	92.8805952	7.40E-07	0	6.71E-05	999	48.295	117.0073	0.0077579	47.4683	313.2733	14.45758648	14605	08:03.4
DELTA 1 DEB (YO)	227	U	62002B	2022	92.56165943	1.50E-06	0	9.46E-05	999	48.1492	41.3465	0.0131837	216.5624	142.6215	14.38403329	12292	28:47.4
DELTA 1 DEB (YO)	228	U	62002C	2022	92.46946833	4.96E-05	0	0.00038732	999	48.4271	163.0098	0.0015109	327.8262	32.1739	15.02474785	20951	16:02.1
THOR ABLESTAR DEB	230	U	61015BN	2022	92.73824153	8.70E-07	0	0.00011479	999	66.8833	223.5869	0.009633	204.5519	155.0962	13.96172353	9122	43:04.1
THOR ABLESTAR DEB	232	U	61015BQ	2022	93.19009469	2.69E-06	0	0.00023582	999	66.8214	58.9518	0.0051386	123.1702	237.4326	13.99416756	9246	33:44.2
THOR ABLESTAR DEB	233	U	61015BR	2022	92.59611246	7.32E-05	0	0.0014213	999	66.8511	174.6285	0.0036163	257.833	101.8734	14.63293944	15182	18:24.1
THOR ABLESTAR DEB	234	U	61015BS	2022	93.19158801	2.90E-06	0	0.0002346	999	66.8791	18.0074	0.0069464	171.629	188.5973	14.02393489	9647	35:53.2
THOR ABLESTAR DEB	235	U	61015BT	2022	92.88405191	3.84E-06	0	0.0002375	999	66.9551	161.2571	0.0160659	48.3183	313.1528	14.08866309	10473	13:02.1
THOR ABLESTAR DEB	243	U	61015BY	2022	92.76351799	7.45E-06	0	0.00058209	999	66.4632	263.0841	0.0032602	340.9402	19.0455	13.97674729	6827	19:28.0
THOR ABLESTAR DEB	244	U	61015BZ	2022	93.2101612	1.69E-06	0	0.00018023	999	66.8429	41.1935	0.0063045	96.1723	264.6545	13.94754181	8531	02:37.9
THOR ABLESTAR DEB	245	U	61015CA	2022	92.8613794	5.12E-06	0	0.00031051	999	66.0906	234.2388	0.0048446	8.7627	351.4292	14.14203724	11034	40:23.2
THOR ABLESTAR DEB	246	U	61015CB	2022	93.00226529	2.00E-07	0	8.15E-05	999	66.8685	301.8402	0.0061264	141.3877	219.1605	13.85815866	41146	03:15.7
THOR ABLESTAR DEB	252	U	61015CD	2022	92.70155078	2.07E-06	0	0.0002816	999	67.0785	210.5093	0.006006	252.9483	214.4178	13.76379539	3977	50:14.0
THOR ABLESTAR DEB	253	U	61015CE	2022	93.16949123	4.61E-05	0	0.00093746	999	66.9201	7.8004	0.0035044	274.5167	85.1958	14.61605329	15207	04:04.0
THOR ABLESTAR DEB	254	U	61015CF	2022	92.36949579	1.40E-05	0	0.00043484	999	66.7754	80.9719	0.0068305	172.7971	187.4133	14.42823705	15128	52:04.4
THOR ABLESTAR DEB	260	U	61015CG	2022	93.00667168	1.46E-05	0	0.00053126	999	66.7704	308.8545	0.005048	198.8315	161.0921	14.35125696	13574	09:36.4
THOR ABLESTAR DEB	261	U	61015CH	2022	92.9327491	1.03E-06	0	0.00011961	999	66.6798	283.3045	0.0095048	305.2962	53.9258	14.000289	9696	23:09.5
THOR ABLESTAR DEB	262	U	61015CJ	2022	92.87994056	2.65E-05	0	0.00079073	999	66.4645	299.5314	0.0074753	73.9343	286.9975	14.43030763	13570	07:06.9
THOR ABLESTAR DEB	263	U	61015CK	2022	92.92090076	8.96E-06	0	0.00028752	999	66.5309	305.2553	0.0115559	272.1849	191.3671	14.40585004	16154	06:05.8
THOR ABLESTAR DEB	264	U	61015CL	2022	92.9381985	1.77E-05	0	0.00074304	999	66.5293	339.0818	0.0027999	352.5358	7.5316	14.28085643	11353	31:00.3
THOR ABLESTAR DEB	268	U	61015CN	2022	92.82231668	4.00E-06	0	0.0013401	999	67.9376	143.5623	0.0651076	176.9198	291.2277	12.50555248	76106	44:08.2
MIDAS 5 (STRONGBACK)	271	U	62010A	2022	92.28235664	-3.00E-08	0	-0.0015929	999	86.6782	179.4177	0.0331151	117.4131	246.0865	9.41309329	6105	46:35.6
MIDAS 5 DEB	273	U	62010C	2022	92.45436786	6.10E-07	0	0.011384	999	86.6761	161.9578	0.0297276	317.5173	40.307	9.43757388	6630	54:17.4
MIDAS 5 DEB	274	U	62010D	2022	92.28874774	1.46E-06	0	0.029112	999	86.6786	196.1889	0.0351548	242.7832	113.6838	9.39382966	5646	55:47.8
THOR ABLESTAR DEB	299	U	61015CQ	2022	92.89824982	2.66E-06	0	0.00034583	999	67.1708	354.1088	0.019583	355.2998	4.6225	13.67995125	1885	33:28.8
TIROS 5	309	U	62025A	2022	92.33427615	7.88E-06	0	0.0001724	999	58.0911	92.268	0.0188723	314.1479	44.4161	14.57037223	15758	01:21.5
DELTA 1 DEB (YO)	312	U	62025C	2022	92.81075149	1.25E-05	0	0.00024856	999	58.2467	225.6094	0.0214735	61.4559	300.7902	14.54859899	13484	27:28.9
THOR ABLESTAR DEB	318	U	61015CU	2022	92.93186501	7.52E-05	0	0.00081565	999	66.5401	18.088	0.0060254	108.7554	252.0123	14.87382411	18346	21:53.1
THOR ABLESTAR DEB	320	U	61015CW	2022	92.62027413	3.43E-06	0	0.00015911	999	66.9063	62.2659	0.0131165	121.6366	239.7608	14.27341023	14890	53:11.7
THOR ABLESTAR DEB	323	U	61015CZ	2022	92.94389982	8.73E-06	0	0.0004943	999	66.8429	37.2636	0.0070836	135.4702	225.2112	14.13463592	11114	39:12.9
THOR ABLESTAR DEB	324	U	61015DA	2022	93.00845311	2.29E-06	0	0.00017045	999	66.867	305.1211	0.0062777	77.1588	283.6506	14.10517931	10663	12:10.3
THOR ABLESTAR DEB	325	U	61015DB	2022	93.01109791	9.34E-06	0	0.0004829	999	66.916	66.6965	0.0052213	115.5693	245.0811	14.18594343	11534	15:58.9
THOR ABLESTAR DEB	327	U	61015DD	2022	92.73306714	1.40E-06	0	0.00016958	999	66.5431	216.0318	0.0108668	43.9788	316.987	13.89807218	7315	35:37.0
THOR ABLESTAR DEB	329	U	61015DF	2022	92.89134932	1.52E-06	0	0.00026118	999	66.7831	13.0866	0.0122175	296.158	134.928	13.65374606	2022	23:32.6
THOR ABLESTAR DEB	330	U	61015DG	2022	92.5764868	8.26E-06	0	0.00057753	999	66.9803	154.7594	0.0052142	199.6917	160.2157	14.02720169	8090	50:08.5
THOR ABLESTAR DEB	333	U	61015DK	2022	92.89340424	3.93E-05	0	0.00085003	999	66.7123	106.3327	0.0052246	22.1064	338.2285	14.58511405	16309	26:30.1
THOR ABLESTAR DEB	334	U	61015DL	2022	92.90312563	3.00E-07	0	8.22E-05	999	66.9248	320.5754	0.0074765	136.2065	224.4978	13.91313045	8231	40:30.1
THOR ABLESTAR DEB	335	U	61015DM	2022	92.72752654	6.98E-06	0	0.00037869	999	66.8407	101.4348	0.0045894	236.649	123.0206	14.17723071	10914	27:38.3
THOR ABLESTAR DEB	336	U	61015DN	2022	92.61648589	1.46E-06	0	0.00024697	999	67.0306	175.185	0.0075612	159.6788	311.1793	13.68522656	2889	47:44.4
THOR ABLESTAR DEB	337	U	61015DP	2022	92.872292	3.73E-06	0	0.00044905	999	67.0087	306.8903	0.010984	285.1889	73.7057	13.74661132	3349	56:06.0
TELSTAR 1	340	U	62029A	2022	92.53471503	-4.50E-07	0	-0.00012401	999	44.8013	299.0069	0.2430605	327.4414	30.3663	9.1286698	99211	49:59.4
DELTA 1 R/B	341	U	62029B	2022	93.07272649	-1.80E-06	0	-0.0010317	999	44.7925	201.7308	0.2416568	78.0382	67.5119	9.14243246	99505	44:43.6
THOR ABLESTAR DEB	350	U	61015DQ	2022	93.05178934	4.33E-06	0	0.00021762	999	66.9131	200.7151	0.0133272	234.911	123.9431	14.20864296	14513	14:34.6
THOR ABLESTAR DEB	351	U	61015DR	2022	92.93012826	5.09E-05	0	0.0012033	999	66.7549	24.68	0.0029648	53.2713	307.1114	14.54604848	15236	19:23.1
THOR ABLESTAR DEB	353	U	61015DT	2022	92.8113327	0.00024603	0	0.0021007	999	66.5015	319.7027	0.0019069	216.2714	143.7126	14.97502227	17232	28:19.1
THOR ABLESTAR DEB	354	U	61015DU	2022	92.88096491	3.20E-06	0	0.00056945	999	67.0664	316.3453	0.0173975	301.953	68.1153	13.48374701	27067	08:35.4
THOR ABLESTAR DEB	355	U	61015DV	2022	93.19981229	2.32E-06	0	0.00051451	999	67.2232	110.4713	0.0248755	215.1133	214.8209	13.32226722	94482	47:43.8
THOR ABLESTAR DEB	357	U	61015DX	2022	92.8476817	8.97E-06	0	0.00061143	999	66.8092	137.0546	0.0017516	243.8068	116.1217	14.04419413	7975	20:39.7
FTV 3502	369	U	62039A	2022	92.80662353	2.62E-05	0	0.00029806	999	98.4805	43.8472	0.0092745	54.0307	306.9462	14.84163069	18713	21:32.3
TIROS 6	397	U	62047A	2022	92.73747402	1.29E-05	0	0.00015946	999	58.3068	40.9525	0.0009056	154.8191	205.3297	14.88796581	18301	41:57.8
THOR ABLESTAR DEB	402	U	61015EB	2022	93.21649598	4.23E-05	0	0.0013021	999	66.6624	99.359	0.0041361	359.7199	0.3875	14.41958596	11826	11:45.3
THOR ABLESTAR DEB	403	U	61015EC	2022	92.93894873	2.00E-07	0	8.99E-05	999	66.8442	9.2611	0.0020311	182.9833	250.1131	13.80808853	5902	32:05.2
THOR ABLESTAR DEB	404	U	61015ED	2022	92.94664741	5.48E-06	0	0.0011246	999	66.4697	81.5586	0.0568527	274.1126	79.5144	12.90620553	84489	43:10.3
THOR ABLESTAR DEB	405	U	61015EE	2022	92.89017711	2.41E-06	0	0.00037082	999	66.892	147.8135	0.0082625	159.0776	16.9323	13.65906692	2227	21:51.3
THOR ABLESTAR DEB	406	U	61015EF	2022	93.15821703	5.72E-06	0	0.00072772	999	66.7815	7.852	0.0125066	340.231	133.7411	13.67188105	1148	47:50.0
THOR ABLESTAR DEB	407	U	61015EG	2022	92.84430166	7.58E-05	0	0.0019134	999	66.3269	132.7425	0.0084646	240.2969	293.9803	14.49373345	10624	15:47.7
THOR ABLESTAR DEB	408	U	61015EH	2022	92.62313205	7.13E-06	0	0.00080895	999	66.7863	171.2852	0.0061318	82.4735	22.9886	13.7521374	9427	57:18.6
THOR ABLESTAR DEB	409	U	61015EJ	2022	93.17730426	9.80E-06	0	0.00045623	999	66.7172	18.7952	0.0070744	210.5692	149.1272	14.23417688	12283	15:19.1
THOR ABLESTAR DEB	410	U	61015EK	2022	93.15223683	2.90E-07	0	0.00010669	999	66.6912	114.6632	0.0021277	292.527	126.4676	13.76164562	4917	39:13.3
THOR ABLESTAR DEB	414	U	61015EP	2022	92.90651689	3.00E-07	0	0.00010718	999	66.4441	226.5551	0.0051665	328.4785	114.7686	13.77126288	5045	45:23.1
THOR ABLESTAR DEB	416	U	61015ER	2022	92.85564741	6.24E-06	0	0.00037335	999	66.5228	257.6672	0.0068748	122.8164	237.9569	14.12566846	11470	32:07.9
THOR ABLESTAR DEB	417	U	61015ES	2022	92.6741055	6.92E-06	0	0.00037319	999	66.7463	190.9933	0.0065755	132.2178	228.452	14.17484617	11949	10:42.7
THOR ABLESTAR DEB	420	U	61015EV	2022	92.91657112	6.88E-06	0	0.00028941	999	66.8161	326.1178	0.0096538	279.7499	79.2707	14.29129168	13371	59:51.7
ALOUETTE 1 (S-27)	424	U	62049A	2022	93.16687532	8.30E-07	0	8.53E-05	999	80.467	335.8244	0.002223	239.2921	120.6034	13.69198237	97108	00:18.0
THOR AGENA B R/B	426	U	62049B	2022	93.16994845	8.40E-07	0	8.74E-05	999	80.4734	344.9978	0.0017108	225.8448	246.26	13.68509479	97061	04:43.5
ANNA 1B	446	U	62060A	2022	92.8965081	-1.23E-06	0	6.97E-06	999	50.1412	147.8218	0.0070243	135.6545	35.6978	13.3528445	89885	30:58.3
THOR ABLESTAR R/B	447	U	62060B	2022	92.93969345	-9.90E-07	0	5.17E-05	999	50.1326	351.1823	0.006569	264.4937	182.0822	13.39061225	90625	33:09.5
THOR ABLESTAR DEB	461	U	61015EX	2022	92.87683097	5.43E-05	0	0.0011118	999	67.5097	327.7673	0.0045545	13.917	346.3194	14.60804572	15879	02:38.2
THOR ABLESTAR DEB	463	U	61015EZ	2022	92.79593587	2.33E-05	0	0.00069228	999	66.772	227.4621	0.0059387	339.8565	20.0197	14.4393527	14640	06:08.9
THOR ABLESTAR DEB	465	U	61015FB	2022	92.61889623	2.51E-05	0	0.00094705	999	66.3177	60.8968	0.0042645	238.4609	121.2319	14.32600596	12539	51:12.6
THOR ABLESTAR DEB	467	U	61015FD	2022	92.58833936	3.44E-06	0	0.00053904	999	66.5595	47.8973	0.0245935	181.0027	179.0569	13.50050584	7298	07:12.5
THOR ABLESTAR DEB	469	U	61015FF	2022	92.71862408	1.19E-05	0	0.00048757	999	66.8351	205.3583	0.0071468	273.3771	85.9154	14.29141749	13303	14:49.1
THOR ABLESTAR DEB	470	U	61015FG	2022	92.84058845	8.79E-06	0	0.00057765	999	66.2296	259.117	0.0067282	178.1057	182.0293	14.05723611	9619	10:26.8
THOR ABLESTAR DEB	474	U	61015FL	2022	92.33378458	0.00015409	0	0.0019382	999	66.2458	76.8891	0.001414	151.2685	317.2545	14.82134208	16279	00:39.0
THOR ABLESTAR DEB	475	U	61015FM	2022	93.1133058	3.70E-05	0	0.001841	999	66.2309	68.4729	0.0161501	320.5231	38.4175	14.11549453	7055	43:09.6
THOR ABLESTAR DEB	478	U	61015FQ	2022	92.82524445	6.84E-05	0	0.0014461	999	66.0712	264.7169	0.0056506	210.3041	149.4796	14.58887748	15786	48:21.1
THOR ABLESTAR DEB	479	U	61015FR	2022	92.80080568	0.00077396	0	0.0052337	999	66.673	254.3926	0.0016883	302.4872	57.4632	15.05963441	14141	13:09.6
THOR ABLESTAR DEB	480	U	61015FS	2022	92.82520012	1.30E-05	0	0.00047881	999	66.2378	246.902	0.0083738	29.304	331.2714	14.33782982	13396	48:17.3
RELAY 1 (A-15)	503	U	62068A	2022	92.51063766	-2.60E-07	0	0	999	47.5056	231.6572	0.2845366	154.9454	241.6897	7.78166404	68585	15:19.1
EXPLORER 16	506	U	62070A	2022	92.48926239	-5.70E-07	0	5.96E-05	999	52.0005	128.2046	0.0277736	57.9653	304.7929	13.85210537	99574	44:32.3
THOR AGENA B DEB	510	U	62049C	2022	92.85894969	7.80E-07	0	7.81E-05	999	80.5161	39.2174	0.0016596	102.7577	318.3113	13.69768852	97234	36:53.3
THOR AGENA B DEB	511	U	62049D	2022	92.81193494	6.80E-07	0	7.00E-05	999	80.4246	275.2935	0.0031225	329.6779	90.1743	13.68267697	96944	29:11.2
DELTA 1 R/B	515	U	62068B	2022	92.8794096	-1.70E-07	0	0	999	47.5158	168.4483	0.2842192	211.7645	127.5291	7.79262214	68808	06:21.0
THOR ABLESTAR DEB	516	U	61015FT	2022	92.67026616	3.52E-06	0	0.00033192	999	65.9948	69.9005	0.0092247	251.5524	107.5504	13.9146107	7451	05:11.0
THOR ABLESTAR DEB	530	U	61015FU	2022	92.89749696	1.55E-06	0	0.00015789	999	66.8793	157.0546	0.0082513	204.3146	155.4035	13.98389333	9274	32:23.7
THOR ABLESTAR DEB	537	U	61015FW	2022	92.95710917	3.73E-06	0	0.00050532	999	67.2279	42.3488	0.0177994	355.8485	62.5996	13.63082935	80616	58:14.2
THOR ABLESTAR DEB	538	U	61015FX	2022	92.89334416	3.49E-05	0	0.00099019	999	67.814	353.6851	0.0009159	49.8102	310.3814	14.46453821	14019	26:24.9
THOR ABLESTAR DEB	541	U	61015GA	2022	93.20088152	2.36E-06	0	0.00026658	999	67.2174	98.0158	0.0075927	16.1586	344.1888	13.84981589	5990	49:16.2
THOR ABLESTAR DEB	543	U	61015GC	2022	92.95669512	1.57E-06	0	0.00026195	999	67.0308	283.8126	0.007248	225.1515	254.7156	13.68323816	2645	57:38.5
